Provider_N,Location,County,Address,City,State,Zip,MailingAdd,MailingCit,MailingSta,MailingZip,Email,Phone,LicenseCap,Operation_,Operatio_1,Hours_Open,Hours_Clos,Infant_0_T,Toddler_13,Preschool_,Pre_K_Serv,School_Age,Ages_Other,Accepts_Ch,Has_Evenin,Has_Drop_I,Has_School,Has_Transp,Has_Tran_1,Has_Cacfp,Accreditat,Program_Ty,Provider_T,Exemption_,Available_,Funded_Pre,QR_Partici,QR_Rated,QR_Rating,Region,addrstatus,addrtype,addrlocat
CCLC-37727,Champions Christian Academy,DeKalb,1125 South Hairston Rd.,Stone Mountain,GA,"30088",1125 South Hairston Rd.,Stone Mountain,GA,"30088",championschristianacademy@gmail.com,(404) 296-7881,"92",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR SA SU,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.7631268,-84.1975331"
LSS-1281,Chapel Hill Elementary,DeKalb,3536 Radcliffe Blvd,Decatur,GA,30034-5911,3536 Radcliffe Blvd,Decatur,GA,30034-5911,Lawanzer_R_Smith@Dekalbschoolsga.org,(678) 676-8402,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,CE,OK,ROOFTOP,"33.6791377,-84.2170237"
LSS-22793,Charles R. Drew Charter School,DeKalb,301 East Lake Blvd.,Atlanta,GA,"30317",301 East Lake Blvd.,Atlanta,GA,"30317",nicole.tuttle@drewcharterschool.org,(404) 687-0001,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS|GAC,Local School System,LSS,NA,"88","88",FALSE,FALSE,NA,CE,OK,RANGE_INTERPOLATED,"33.7451128,-84.30266549999999"
LSS-51369,Charles Spencer Elementary,Tift,65 Tifton-Eldorado Road,Tifton,GA,"31794",65 Tifton-Eldorado Road,Tifton,GA,"31794",pnelson@tiftschools.com,(229) 387-2430,NA,NA,NA,00:00:00,00:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,SW,OK,ROOFTOP,"31.4459478,-83.4955339"
CCLC-14416,Char's Family Daycare  Inc.,Dawson,3276 Dawson Forest Road,Dawsonville,GA,"30534",3276 Dawson Forest Road,Dawsonville,GA,"30534",charsfdc@gmail.com,(706) 265-2427,"84",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR SA,06:00:00,22:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NE,OK,ROOFTOP,"34.3539921,-84.0587607"
LSS-1554,Chase Street Elementary,Clarke,757 N. Chase St.,Athens,GA,30601-1901,757 N. Chase St.,Athens,GA,"30601",nobless@clarke.k12.ga.us,(706) 543-1081,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"44","44",FALSE,FALSE,NA,NE,OK,ROOFTOP,"33.9646803,-83.394176"
LSS-1426,Chattahoochee County Pre-K,Chattahoochee,140 Merrell Street,Cusseta,GA,"31805",140 Merrell Street,Cusseta,GA,"31805",kheard@chattco.org,(706) 989-3648,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"44","44",FALSE,FALSE,NA,SW,OK,ROOFTOP,"32.3021442,-84.7644273"
CCLC-4195,Chattahoochee Head Start Academy,Fulton,2751 Peyton Road,Atlanta,GA,"30318",100 Edgewood Ave  NE Suite 1230,Atlanta,GA,"30303",Gailm@ecdcllc.org,(404) 792-2740,"430",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NAEYC,Child Care Learning Center,CCLC,NA,"152","152",TRUE,TRUE,"1",NW,OK,ROOFTOP,"33.8086642,-84.4776827"
CCLC-2254,Chelsey's Garden 2nd Step,Cobb,695 Windy Hill Rd.,Smyrna,GA,"30080",695 Windy Hill Rd.,Smyrna,GA,"30080",patricia_martin33@yahoo.com,(770) 433-8277,"44",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR SA SU,07:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",FALSE,FALSE,NA,CW,OK,ROOFTOP,"33.8946823,-84.53290849999999"
CCLC-1444,Cherokee Academy At Clayton,Cherokee,1205 Upper Burris Rd.,Canton,GA,"30114",1205 Upper Burris Rd.,Canton,GA,"30114",cherokeeacademy@windstream.net,(770) 479-4404,"122",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",NW,OK,ROOFTOP,"34.3468408,-84.4919414"
LSS-18250,Cherokee Elementary,Polk,191 Evergreen Lane,Cedartown,GA,"30125",191 Evergreen Lane,Cedartown,GA,"30125",jkirsch@polk.k12.ga.us,(770) 748-5614,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS|GAC,Local School System,LSS,NA,"66","66",FALSE,FALSE,NA,NW,OK,RANGE_INTERPOLATED,"34.037198,-85.2639301"
LSS-215,Cherokee Ridge Elementary,Walker,2423 Johnson Road,Chickamauga,GA,"30707",2423 Johnson Road,Chickamauga,GA,"30707",lorivann@walkerschools.org,(706) 375-9831,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,NW,OK,ROOFTOP,"34.8893749,-85.28858369999999"
LSS-1282,Chesnut Elementary,DeKalb,4576 North Peachtree Road,Dunwoody,GA,30338-4501,4576 North Peachtree Road,Dunwoody,GA,30338-4501,Veronica_z_williams@Dekalbschoolsga.org,(678) 676-7102,"0",JAN FEB MAR APR MAY AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,15:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SACS,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,CE,OK,ROOFTOP,"33.9278466,-84.2959755"
CCLC-1447,Chestnut Hill Academy,Fulton,2350 Bethsaida Rd.,Riverdale,GA,"30296",2350 Bethsaida Rd.,Riverdale,GA,"30296",chestnuthillacad@bellsouth.net,(770) 991-0380,"116",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.5614449,-84.4643186"
CCLC-39038,Chestnut Mountain Academy,Hall,4720 Winder Hwy,Flowery Branch,GA,"30542",4720 Winder Hwy,Flowery Branch,GA,"30542",cmakids@yahoo.com,(770) 967-7105,"150",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,FALSE,NA,NE,OK,ROOFTOP,"34.1732372,-83.8395226"
LSS-51715,Chicopee Woods Elementary,Hall,2029 Calvary Church Rd,Gainesville,GA,"30507",2029 Calvary Church Rd,Gainesville,GA,"30507",kelley.trippe@hallco.org,(770) 536-2057,NA,NA,NA,00:00:00,00:00:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Local School System,LSS,NA,"22","22",FALSE,FALSE,NA,NE,OK,ROOFTOP,"34.2319014,-83.8211984"
CCLC-35644,Child Development Center,Muscogee,2701 11th Avenue,Columbus,GA,"31904",2701 11th Avenue,Columbus,GA,"31904",aheberlig@espheadstart.org,(706) 801-9428,"204",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,08:00:00,14:30:00,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NAEYC,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",SW,OK,ROOFTOP,"32.4885948,-84.97847510000001"
CCLC-1395,Child Development Center at Central,Fulton,201 Washington St.  SW,Atlanta,GA,"30303",201 Washington St.  SW,Atlanta,GA,"30303",lschnitzer@cpcatlanta.org,(404) 659-0462,"122",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,07:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,NW,OK,ROOFTOP,"33.7499044,-84.38883039999999"
CCLC-947,Child Life Discovery Center #2,Muscogee,719 50th St.,Columbus,GA,"31904",719 50th St.,Columbus,GA,"31904",tinacldc@aol.com,(706) 596-1714,"178",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,SW,OK,ROOFTOP,"32.5125416,-84.9822684"
CCLC-51251,Child Prophesies,DeKalb,3926 Kensington Road,Decatur,GA,"30032",3926 Kensington Road,Decatur,GA,"30032",childprophesies888@yahoo.com,(404) 502-1831,"61",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,07:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",FALSE,FALSE,NA,CE,OK,ROOFTOP,"33.7664183,-84.2330044"
CCLC-1451,Childcare Network #100,Spalding,1609 Williamson Road,Griffin,GA,"30223",1609 Williamson Road,Griffin,GA,"30223",cni100@childcarenetwork.com,(770) 227-2788,"100",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SW,OK,ROOFTOP,"33.2249411,-84.300163"
CCLC-37427,Childcare Network #101,Spalding,1140 Cowan Road,Griffin,GA,"30223",1140 Cowan Road,Griffin,GA,"30223",cni101@childcarenetwork.com,(770) 227-2232,"140",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,FALSE,NA,SW,OK,ROOFTOP,"33.2755598,-84.3052611"
CCLC-46171,Childcare Network #106,Fulton,1768 Washington Street,East Point,GA,"30344",1768 Washington Street,East Point,GA,"30344",cni106@childcarenetwork.com,(404) 209-9830,"166",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",NW,OK,ROOFTOP,"33.6752946,-84.4463379"
CCLC-46236,Childcare Network #107,Troup,105 Old Mill Road North,LaGrange,GA,"30241",105 Old Mill Road North,LaGrange,GA,"30241",cni107@childcarenetwork.com,(706) 407-0534,"193",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:45:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,FALSE,NA,CW,OK,ROOFTOP,"33.0378701,-85.0093521"
CCLC-18,Childcare Network #118,Catoosa,5531 Highway 41 North,Ringgold,GA,"30736",5531 Highway 41 North,Ringgold,GA,"30736",cni118@childcarenetwork.com,(706) 937-2939,"142",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR SA,06:30:00,18:30:00,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"1",NE,OK,ROOFTOP,"34.9343217,-85.1371999"
CCLC-1456,Childcare Network #119,Troup,3009 West Point Road,LaGrange,GA,"30240",3009 West Point Road,LaGrange,GA,"30240",cni119@childcarenetwork.com,(706) 882-2025,"130",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"3",CW,OK,ROOFTOP,"33.0151669,-85.1013693"
CCLC-1457,Childcare Network #12,Lowndes,424 Connell Rd.,Valdosta,GA,"31602",424 Connell Rd.,Valdosta,GA,"31602",cni12@childcarenetwork.com,(229) 316-0391,"104",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",SE,OK,ROOFTOP,"30.8747098,-83.2799924"
CCLC-1461,Childcare Network #131,Baldwin,701 Dunlap Rd.  NE,Milledgeville,GA,"31061",701 Dunlap Rd.  NE,Milledgeville,GA,"31061",cni131@childcarenetwork.com,(478) 452-0616,"171",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.1128694,-83.2429475"
CCLC-1462,Childcare Network #134,Gwinnett,2374 Beaver Ruin Road,Norcross,GA,"30071",2374 Beaver Ruin Road,Norcross,GA,"30071",cni134@childcarenetwork.com,(770) 662-3009,"223",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"110","110",TRUE,TRUE,"1",NE,OK,ROOFTOP,"33.9400176,-84.1925081"
CCLC-38290,Childcare Network #147,Murray,92 Bowtie Blvd,Chatsworth,GA,"30705",92 Bowtie Blvd,Chatsworth,GA,"30705",cni147@childcarenetwork.com,(706) 422-8126,"172",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"3",NE,OK,ROOFTOP,"34.7809887,-84.81719199999999"
CCLC-22068,Childcare Network #160,Richmond,2801 Wylds Road,Augusta,GA,"30909",2801 Wylds Road,Augusta,GA,"30909",cni160@childcarenetwork.com,(706) 736-9779,"204",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",CE,OK,ROOFTOP,"33.4600148,-82.07818499999999"
CCLC-22700,Childcare Network #167,Bibb,3940 Northside Drive,Macon,GA,"31210",3940 Northside Drive,Macon,GA,"31210",cni167@childcarenetwork.com,(478) 314-2186,"110",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"3",SW,OK,ROOFTOP,"32.898358,-83.69911359999999"
CCLC-25115,Childcare Network #175,Muscogee,5001 Academy Drive,Columbus,GA,"31909",5001 Academy Drive,Columbus,GA,"31909",cni175@childcarenetwork.com,(706) 568-3205,"102",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"3",SW,OK,ROOFTOP,"32.5379173,-84.9052256"
CCLC-30966,Childcare Network #184,Henry,689 Jonesboro Road,McDonough,GA,"30253",689 Jonesboro Road,McDonough,GA,"30253",cni184@childcarenetwork.com,(770) 302-0301,"202",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",SW,OK,ROOFTOP,"33.4583642,-84.179738"
CCLC-1469,Childcare Network #19,Bibb,1987 Wood Valley Rd.,Macon,GA,"31211",1987 Wood Valley Rd.,Macon,GA,"31211",cni19@childcarenetwork.com,(478) 314-0199,"103",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SW,OK,ROOFTOP,"32.8713938,-83.6136819"
CCLC-1470,Childcare Network #20,Chatham,12441 White Bluff Rd.,Savannah,GA,"31419",12441 White Bluff Rd.,Savannah,GA,"31419",cni20@childcarenetwork.com,(912) 925-7338,"97",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:00:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SE,OK,ROOFTOP,"31.9728601,-81.1335344"
CCLC-34872,Childcare Network #206,Clayton,4405 Jonesboro Road,Forest Park,GA,"30297",4405 Jonesboro Road,Forest Park,GA,"30297",cni206@childcarenetwork.com,(404) 214-2902,"208",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"3",CW,OK,ROOFTOP,"33.6344657,-84.3598323"
CCLC-35251,Childcare Network #208,Henry,4250 Jodeco Road,McDonough,GA,"30253",4250 Jodeco Road,McDonough,GA,"30253",cni208@childcarenetwork.com,(770) 954-9353,"241",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"88","88",TRUE,TRUE,"2",SW,OK,ROOFTOP,"33.4876573,-84.17545319999999"
CCLC-35252,Childcare Network #209,Gwinnett,2985 Xavier Ray Court,Snellville,GA,"30039",2985 Xavier Ray Court,Snellville,GA,"30039",cni209@childcarenetwork.com,(770) 972-7774,"217",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"88","88",TRUE,TRUE,"1",NE,OK,ROOFTOP,"33.8118861,-84.00855899999999"
CCLC-19,Childcare Network #21,Chatham,7360 Hodgson Memorial Dr.,Savannah,GA,"31406",7360 Hodgson Memorial Dr.,Savannah,GA,"31406",cni21@childcarenetwork.com,(912) 355-2299,"104",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SE,OK,ROOFTOP,"32.0011926,-81.11293680000001"
CCLC-35253,Childcare Network #210,Gwinnett,225 Simonton Rd.,Lawrenceville,GA,"30046",225 Simonton Rd.,Lawrenceville,GA,"30046",cni210@childcarenetwork.com,(770) 962-8873,"223",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"110","110",TRUE,TRUE,"2",NE,OK,RANGE_INTERPOLATED,"33.934917,-83.97404999999999"
CCLC-35250,Childcare Network #211,Gwinnett,3635 Howell Ferry Rd.,Duluth,GA,"30096",3635 Howell Ferry Rd.,Duluth,GA,"30096",cni211@childcarenetwork.com,(770) 623-9800,"149",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",NE,OK,ROOFTOP,"34.0008176,-84.1658113"
CCLC-35596,Childcare Network #214,Baldwin,161 Roberson Mill Rd.  NE,Milledgeville,GA,"31061",161 Roberson Mill Rd.  NE,Milledgeville,GA,"31061",cni214@childcarenetwork.com,(478) 452-5222,"147",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"1",CE,OK,ROOFTOP,"33.1023039,-83.26109629999999"
CCLC-35597,Childcare Network #215,Dougherty,2403 Brierwood Dr.,Albany,GA,"31705",2403 Brierwood Dr.,Albany,GA,"31705",cni215@childcarenetwork.com,(912) 888-2219,"130",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"2",SW,OK,ROOFTOP,"31.5664018,-84.0939015"
CCLC-35598,Childcare Network #216,Dougherty,214 Telfair Ave.,Albany,GA,"31701",214 Telfair Ave.,Albany,GA,"31701",cni216@childcarenetwork.com,(229) 439-2842,"167",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:00:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"22","22",TRUE,TRUE,"2",SW,OK,ROOFTOP,"31.6080097,-84.15348879999999"
CCLC-35599,Childcare Network #217,Dougherty,200 N. Westover Blvd,Albany,GA,"31707",200 N. Westover Blvd,Albany,GA,"31707",cni217@childcarenetwork.com,(912) 888-8090,"148",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,06:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"66","66",TRUE,TRUE,"2",SW,OK,ROOFTOP,"31.5911196,-84.2187814"
CCLC-35600,Childcare Network #218,Muscogee,2451 Whittlesey Rd.,Columbus,GA,"31909",2451 Whittlesey Rd.,Columbus,GA,"31909",cni218@childcarenetwork.com,(706) 323-9501,"186",JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC,MO TU WE TH FR,05:30:00,18:30:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Child Care Learning Center,CCLC,NA,"44","44",TRUE,TRUE,"2",SW,OK,ROOFTOP,"32.5400646,-84.9562196"
